title,tokens
Инженер программных решений / DevOps,zabbix plg elk postgresql nginx написание сценарий автоматизация bash ansible highlighttext python highlighttext поддержка ci cd gitlab ci teamcity nexus обслуживание
Нейрограф/специалист по нейросетям,плюс опыт интеграция api json знание highlighttext python highlighttext настройка скрипт workflowexecutor executioncache понимание сегментация изображение controlnet
Программист на Phyton,понимание программирование язык highlighttext python highlighttext знание основа работа сервер готовность область программирование
QA engineer / Тестировщик,знание highlighttext python highlighttext написание автотестов опыт работа postgresql mongodb функция знание тестирование интеграция микросервисов
Бизнес-аналитик,знание highlighttext python highlighttext плюс нотация описание бизнес - процессов bpmn scrum kanban
QA-инженер,опыт работа система опыт проведение тестирование опыт написание автотестов highlighttext python highlighttext java интерфейс selenium selenide
Старший инженер-программист C++,знание система сборка - опыт работа различными - опыт работа confluence знание highlighttext python highlighttext
Python developer (Чекаут доставки),владение highlighttext python highlighttext программирование опыт работа pydantic x знание принцип построение rest api
Python developer,кандидат знание опыт разработка highlighttext python highlighttext знание фреймворк flask fastapi
Системный администратор Linux (DevOps),образование опыт администрирование сервер управление система год знание протокол знание навык программирование
Python разработчик,знание highlighttext python highlighttext принцип опыт работа flask знание работа база данных postgresql mysql
Младший разработчик (стажер) Siebel CRM,знакомство ооп - язык программирование java js highlighttext python highlighttext знание субд
Инженер-конструктор (инженер-программист),знание интерфейс ethernet uart spi i usb rs- знание highlighttext python highlighttext qt знание язык
Data/ELT - инженер_middle/senior,навык опыт работа hadoop spark airflow владение highlighttext python highlighttext понимание модель данных data vault
Game (продуктовый) Analyst,процесс - способность гипотеза практика - владение highlighttext python highlighttext уровень - опыт работа
Начинающий специалист Data Analyst & Prompt Engineer,работа данными язык опыт работа highlighttext python highlighttext sql анализ данных опыт работа
Python Engineer,the ideal candidate is proficient in highlighttext python highlighttext experienced with django and has a solid understanding of rdbms containerization and
Back End Developer,years of working experience in backend development highlighttext python highlighttext django fastapi aws deployment django drf nginx integrating with
Программист (тестирование сетевого оборудования),знание архитектура опыт написание highlighttext python highlighttext скрипт знание система контроль версия язык
Стажер-программист в ведущую IT-компанию,знание язык программирование java highlighttext python highlighttext способность технология
Data Analyst (аналитик данных),опыт работа аналитик данных год подход решение задача принятие решение
Дежурный ИТ мониторинга,внимательность аккуратность ответственность опыт написание скрипт автоматизация сбор данных система мониторинг bash powershell highlighttext python highlighttext
Data Engineer,владение оптимизация запрос работа clickhouse знание highlighttext python highlighttext написание скрипт автоматизация интеграция данных
Python Backend-разработчик Junior,опыт год разработка знание highlighttext python highlighttext опыт разработка фреймворк fastapi flask aiohttp
"QA mobile, Мобильное приложение для продавцов",опыт написание ui - тест приложение highlighttext python highlighttext appium знание highlighttext python highlighttext опыт тестирование api rest json postman
Системный администратор,qemu kvm web сервер lamp nextcloud mysql maria bd маршрутизация bash samba lets encrypt
Разработчик цифрового двойника склада Java / Anylogic (Автоматизация складов с применением ИИ),опыт разработка java опыт работа anylogic разработка модель сбор данных подготовка эксперимент тестирование верификация
DevOps Engineer,язык уровень чтение документация умение скрипт highlighttext python highlighttext опыт построение инфраструктура проект нуль опыт администрирование инфраструктура
Программист-разработчик C++,опыт программирование приложение опыт работа проект движок опыт работа шейдерами знание highlighttext python highlighttext
Game Analyst (Midcore Games),умение объём данных знание метрика понимание рынок игра проект знание highlighttext python highlighttext
ML Engineer LLM,способность команда навык взаимодействие разработчик аналитик бизнес - подразделениями знание highlighttext python highlighttext
QA инженер (DBaaS),знание язык умение запрос сложность опыт написание автотестов go highlighttext python highlighttext год опыт автоматизация тестирование
Программист,образование знание highlighttext python highlighttext инициативность желание опыт работа
Системный аналитик,образование плюс знание язык программирование sql highlighttext python highlighttext понимание принцип работа база данных
BI разработчик,опыт работа plotly dash инструмент yandex datalens metabase redash highlighttext python highlighttext решение
Аналитик проекта,знание методология расчёт пользование уровень пользование excel highlighttext python highlighttext - опыт работа программа анализ данных
DevOps / Site Reliability Engineer (SRE),понимание работа субд брокер сообщение postgres mongo elastic kafka опыт автоматизация задача помощь highlighttext python highlighttext go bash groovy
Разработчик Mini-Apps для Telegram с опытом работы со смарт-контрактами TON,язык программирование владение javascript typescript highlighttext python highlighttext знание язык разработка блокчейн - проектов
Middle / Senior C# .Net developer,опыт работа год знание net опыт работа
Backend-разработчик (Python/FastAPI),опыт работа highlighttext python highlighttext веб - фреймворками fastapi flask django понимание архитектура docker
Backend python developer,требование навык владение стек highlighttext python highlighttext год разработка умение данными
Python-разработчик,наличие опыт работа проект год знание highlighttext python highlighttext умение
Junior Data analyst,владение владение функционал highlighttext python highlighttext анализ данных опыт работа объём данных формат
Backend-разработчик,знание опыт laravel symfony навык проектирование бд понимание стандарт psr ci cd -
Младший аналитик (управленческая отчетность),способность счёт алгоритмизация процесс системность скорость мышление обучаемость склонность технология highlighttext python highlighttext - опыт написание запрос обработка данных
Supply Chain Manager / Менеджер по логистике,confident excel user experience in programming highlighttext python highlighttext visual basic etc and power bi would be considered a competitive advantage
Junior QA engineer,компьютер владение язык разработка автоматизация тестирование highlighttext python highlighttext понимание интерфейс опыт работа система qase
Middle Backend-разработчик (Python),опыт разработка приложение год владение highlighttext python highlighttext опыт работа фреймворк django
Тестировщик ПО,знание опыт работа строка опыт программирование знание highlighttext python highlighttext опыт работа фреймворками автоматизация тестирование
Python разработчик,образование знание highlighttext python highlighttext навык разработка код применение паттерн знание теория алгоритм
Тестировщик (AI),понимание принцип работа знание язык плюс знание специфика продукт преимущество знание highlighttext python highlighttext
Python-разработчик,знание область fastapi postgres знание highlighttext python highlighttext уровень middle опыт работа apache kafka опыт работа
DevOps-инженер (IT),опыт работа aws gcp azure знание язык bash highlighttext python highlighttext плюс опыт работа система
Директор центра анализа данных и ИТ-аудита,знание инструмент бизнес - аналитики apache superset владение язык программирование highlighttext python highlighttext опыт работа база данных sql nosql качество
Product analyst/Продуктовый аналитик (Gamedev),опыт написание запрос опыт проведение анализ данных highlighttext python highlighttext опыт построение визуализация данных система визуализация
Junior Data analyst,маркетплейс поиск junior data analyst опыт работа год
Аналитик данных (BI),образование опыт работа аналитик год опыт power bi инструмент
Python developer (Middle+/Senior),понимание принцип разработка highlighttext python highlighttext опыт работа брокер сообщение kafka rabbitmq знание highlighttext python highlighttext toolset poetry mypy pylint
Data Engineer,опыт работа clickhouse postgresql понимание принцип работа знание sql highlighttext python highlighttext java scala опыт работа apache airflow
Python-разработчик,год highlighttext python highlighttext год проект опыт миграция voip система уровень
Программист Python (внутренние проекты) / Python Developer (internal projects),опыт разработка highlighttext python highlighttext год знание опыт работа база данных postgres mongodb очередь сообщение rabbitmq веб
Junior Python-developer,highlighttext python highlighttext sql design patterns oop git
Начинающий специалист,наличие образование знание техника программа любовь преподавание ребёнок
Golang-разработчик,опыт программирование год знание область оркестрации kubernetes т понимание
Data Engineer,опыт работа инженер данных год highlighttext python highlighttext уровень написание airflow dag
DevOps Engineer,год работа позиция уровень intermediate b плюс знание kubernetes
Инженер по ручному тестированию в команду Разработки программных продуктов,инструмент postman git lens знание стек технология уровень знакомство - nodejs typescript go highlighttext python highlighttext
Middle QA/тестировщик (BIOM),навык работа уровень пользователь образование опыт автоматизация тестирование знание highlighttext python highlighttext
Ведущий специалист по технической поддержке (Москва),опыт написание уровень сложность опыт программирование javascript highlighttext python highlighttext знание основа данных
Руководитель группы разработки / Head of Development (Web & Mobile),опыт работа high продукт веб - разработке опыт управление команда разработчик devops qa аналитик
Python-разработчик,знание язык программирование highlighttext python highlighttext навык работа написание запрос управление данными опыт обработка анализ
Python Developer,образование опыт разработка highlighttext python highlighttext год понимание приложение rest api
Backend Developer (Python),график подход организация workflow опыт разработка highlighttext python highlighttext использование django django rest framework fastapi
Frontend-разработчик TypeScript React (middle/senior),год опыт разработка роль фулстек разработчик typescript react
Аналитик Python,навык highlighttext python highlighttext sql pandas numpy clickhouse excel опыт написание справка презентация результат работа образование
Front-end разработчик (React),опыт работа разработчик год знание опыт использование
Системный администратор,устройство работа компьютер работа
Руководитель разработки / Head of Development,образование область наука область опыт работа разработка обеспечение год
Маркетолог,знание понимание анализ знание highlighttext python highlighttext умение модель преимущество
Инженер по тестированию производительности,опыт использование строка знание rest api http sql знание highlighttext python highlighttext уровень - опыт работа
Intern/Game Producer,опыт разработка сфера обеспечение приложение игра желание готовность
Web-разработчик,ответственность внимательность деталь организованность знание highlighttext python highlighttext понимание структура скрипт умение опыт работа
Менеджер продукта,- умение исследование возможность интеграция - умение highlighttext python highlighttext цель анализ данных знание язык
Python Backend Developer (Django),стек highlighttext python highlighttext django postgresql rest api docker git k s итд подход решение задача
Специалист по защите информации,навык работа windows linux система навык написание скрипт наличие навык разбор скрипт bash highlighttext python highlighttext powershell
Координатор образовательного проекта,опыт работа контрагент умение переговоры ситуация интерес компания опыт управление персонал проведение оценка эффективность
Инженер технической поддержки ЦОД,навык администрирование windows linux опыт применение язык highlighttext python highlighttext powershell bash опыт работа позиция
Middle Backend Developer (Python),backend highlighttext python highlighttext понимание коллекция программирование fastapi di rest websockets openapi sqlalchemy asyncio orm
Middle Python Developer (с DevOps-навыками),опыт разработка highlighttext python highlighttext год опыт работа django drf fastapi flask знание postgresql mysql mongodb
Python-разработчик (техническая поддержка пользователей),знание highlighttext python highlighttext умение запрос пользователь опыт работа система составление инструкция опыт администрирование
Менеджер по автоматизации аналитики,инструмент моделирование бизнес - процессов понимание процесс программа лояльность b знание метод статистика моделирование владение highlighttext python highlighttext
ГИС-специалист / картограф/Инженер-программист,навык работа geoserver highlighttext python highlighttext уровень junior обработка данных средство postgres postgis сфера
Back-end разработчик Python,опыт разработка год знание язык highlighttext python highlighttext год веб - фреймворка django
Data Analyst,опыт программирование highlighttext python highlighttext аналитик данных знание pandas владение уровень работа хранилищами
RPA-разработчик,понимание опыт использование язык программирование powershell highlighttext python highlighttext опыт внедрение использование технология распознавание документ ocr
SQL аналитик,навык работа субд средство анализ данных sql server oracle sas highlighttext python highlighttext знание ms office уровень
Разработчик C++/Qt,подготовка метод метод оптимизация мат статистика опыт разработка оптимизация sqllite postgresql опыт разработка highlighttext python highlighttext владение язык
Data Scientist (Моделирование КМБ и СМБ),опыт работа llm файнтюнинг llm опыт построение работа фреймворками программирование язык highlighttext python highlighttext
Разработчик UE (Unreal Engine),навык программирование blueprints highlighttext python highlighttext опыт работа движок год опыт программирование
Middle/Senior Backend разработчик,владение highlighttext python highlighttext sql asyncio знание структура данных алгоритм знание web framework django fast api aiohttp
Python-разработчик,опыт программирование highlighttext python highlighttext год знание область оркестрации kubernetes т понимание
Специалист технической поддержки,опыт работа поддержки год опыт работа язык запрос опыт работа система трекинг инцидент
Аналитик данных,опыт создание отчёт бизнес - пользователей знание highlighttext python highlighttext r обработка анализ данных
QA инженер (офис в Якутске),знание методология вид тестирование - опыт тестирование год - опыт написание тест - кейс чек - листов ведение документация
IT Support Specialist,value your passion and vision nice to have experience with highlighttext python highlighttext or javascript relational databases website parsers experience working in
Python-разработчик в SaaS-сервис «Культура аналитики»,highlighttext python highlighttext опыт работа django rest framework очередь кэширование асинхронность
Специалист по внедрению и сопровождению программного обеспечения,уровень postgresql опыт администрирование сервер база данных понимание структура сеть коммуникация опыт программирование highlighttext python highlighttext преимущество
Python-разработчик,опыт работа год разработка highlighttext python highlighttext знание архитектура подход проектирование
AI Developer,strong proficiency in highlighttext python highlighttext experience with langchain and large language models llms expertise in machine learning nlp and ai model
Python Middle developer,опыт работа clickhouse postgresql опыт работа бд redis mongodb опыт парсинга данных формат
Go разработчик (Enterprise Manager),знание опыт работа библиотеками stdlib net http chi uber fx pgx cron assert testify mockery gonkey
Junior Python Developer,at least year of hands - on highlighttext python highlighttext experience experience with postgresql and redis knowledge of go or strong interest
Младший аналитик данных,образование область знание highlighttext python highlighttext особенность pandas google sheets google colab github api
Junior Golang Developer,опыт работа ci cd опыт язык программирование highlighttext python highlighttext java
Аналитик данных,образование уровень владение sql highlighttext python highlighttext pandas numpy prophet excel power query power pivot
Аналитик данных (маркетинг),опыт работа данными использование анализ преимущество сегментация анализ highlighttext python highlighttext работа apache airflow
Intern Economy Game Designer,умение создание балансировка модель понимание дизайн знание highlighttext python highlighttext опыт работа ms excel
"Проектный менеджер по направлению инноваций, AI-технологий, цифровой трансформации",владение программа технология ms office word excel powerpoint sql highlighttext python highlighttext gigachat
Flutter-разработчик в стартап,flutter dart плюс знание стека highlighttext python highlighttext postrgesql плюс умение архитектура интерфейс
Инженер-программист АСУ ТП,знание кипиа электротехника опыт работа оборудование кипиа электропривод контроллер знание язык программирование уровень
Junior QA Engineer (Москва),основа алгоритм знание highlighttext python highlighttext знакомство бд sql oracle образование
Аналитик данных / Data Analyst,знание понимание highlighttext python highlighttext алгоритм структура данных библиотека анализ данных наличие проект highlighttext python highlighttext
Веб-разработчик Python/Web Developer Python,знание область разработка highlighttext python highlighttext фреймворк база данных
Аналитик отдела планирования и экономического анализа,плюс знание основа power bi знакомство highlighttext python highlighttext понимание логика построение сценарий low платформа
Junior Data Scientist/MLE,уровень владение библиотеками highlighttext python highlighttext обучение анализ данных понимание основа анализ данных дисперсия гипотеза
Android Developer (Highload),kotlin android год kotlin coroutines rxjava room dagger custom view android architecture components best practice
Middle / Senior QA Engineer,navigation and design опыт тестирование ios android приложение опыт программирование язык highlighttext python highlighttext
Системный аналитик (Junior),programming lang php lavarel java flutter low - code esb talend highlighttext python highlighttext databases postgresql oracle integrations rest soap
Backend разработчик (Python FastAPI),знание опыт технология highlighttext python highlighttext fastapi sqlalchemy pytest kafka знание технология готовность офис
Data Analyst (HR-аналитика),умение данными анализ очистка подготовка отбор создание признак стек sql postgres clickhouse highlighttext python highlighttext excel знание теория вероятность
Web разработчик,знание highlighttext python highlighttext уровень достаточном разработка full stack проект умение проект улучшение
Аналитик в команду «Операционный аудит в канале ВСП»,образование -знание процедура функция выражение проектирование таблица представление индекс
Data Analyst,пользователь highlighttext python highlighttext pandas pyspark numpy matplotlib sklearn scipy опыт работа библиотеками пользователь написание
Python-разработчик (FastApi),образование опыт работа год знание библиотека pydantic
Software Engineer,выпускник вуз nazarbayev university kimep etc опыт разработка highlighttext python highlighttext django drf опыт работа
Middle Python-разработчик (VPN-сервис),опыт работа highlighttext python highlighttext год опыт разработка знание программирование asyncio aiogram
Data Scientist / Machine Learning Engineer / Аналитик данных,владение язык программирование highlighttext python highlighttext r разработка внедрение модель опыт работа метод обучение
Data Engineer,опыт обработка данных использование highlighttext python highlighttext понимание обработка данных опыт работа данных
Senior/Lead Data Analyst,навык прогнозирование анализ highlighttext python highlighttext r умение кросс команда вывод
Backend-разработчик,опыт разработка система год владение highlighttext python highlighttext опыт работа субд postgresql timescaledb знание принцип построение
Python разработчик,опыт программирование highlighttext python highlighttext год понимание принцип dry solid опыт работа рсубд mysql postgres
Backend-разработчик (Python),знание highlighttext python highlighttext библиотека знание знание фреймворк django знание знание
Интерн тестировщик,знание основа язык программирование highlighttext python highlighttext java преимущество внимание деталь ответственность умение
Node.JS Developer,навык владение node js опыт работа mongodb опыт решение задача
Разработчик Телеграм-ботов,знание fastapi flask разработка highlighttext python highlighttext опыт работа ml ответ бот настройка ui
Аналитик,умение отчётность superset tableau power bi qlik опыт работа e - отрасль знание highlighttext python highlighttext преимущество
Python developer middle,опыт работа роль highlighttext python highlighttext developer год образование опыт работа субд
DevOPS engineer (SRE),владение инструмент управление конфигурация автоматизация terraform ansible навык скриптинга highlighttext python highlighttext bash golang автоматизация задача безопасность
Python Developer,мышление опыт использование понимание язык highlighttext python highlighttext уровень опыт разработка элемент
Руководитель проектного офиса и технической поддержки Финтеха (клиентский сервис),опыт работа проблема информация сотрудник поддержка
Аналитик данных,опыт визуализация данных ga gtm курс доступ сообщество
Backend Python Разработчик (работа в Новосибирске),опыт работа highlighttext python highlighttext год знание фреймворк fastapi опыт работа асинхронность
NLP Engineer,highlighttext python highlighttext язык обучение знание библиотека numpy pandas scikit - learn фреймворки обучение владение
Frontend-разработчик,знание язык программирование технология highlighttext python highlighttext опыт веб - разработки плюс умение система контроль версия
Программист Python,образование курс тренинг знание программа знание язык язык степень владение
Инженер -программист АСУ ТП,знание язык программирование iec - st ld fbd знание язык программирование highlighttext python highlighttext знание интерфейс протокол связь
Junior Python разработчик,умение scrum работа таск - трекер навык написание тест highlighttext python highlighttext asyncio fastapi pydantic v mongodb
Python разрабочик,опыт разработка highlighttext python highlighttext опыт разработка опыт использование
DevOps инженер,опыт работа инструмент iac terraform ansible puppet chef навык программирование язык highlighttext python highlighttext go
Python-разработчик,знание highlighttext python highlighttext принцип опыт работа понимание концепция rest api знание
Разработчик Департамента банковских карт,навык анализ инцидент устранение проблема доработка процедура знание основа программирование sql highlighttext python highlighttext анализ модификация процедура
Руководитель направления разработки,опыт работа качество team lead cto руководитель отдел разработка образование знание область технология понимание
Аналитик SQL,владение ms office excel word power point умение проведение ad - исследование помощь highlighttext python highlighttext знание
Дата аналитик,владение язык программирование highlighttext python highlighttext год опыт работа база данных postgresql mysql
Python Backend Разработчик,веб - студия highlighttext python highlighttext django разработчик опыт разработка год требование highlighttext python highlighttext django celery
Python разработчик,образование опыт работа highlighttext python highlighttext опыт разработка использование sqlalchemy sklearn xgboost sktime profet
Специалист по работе с отчетностью,навык работа уровень формирование запрос модель power query power pivot highlighttext python highlighttext навык работа power point
Senior Frontend разработчик,знание знание html css вёрстка опыт работа система контроль версия git gitlab понимание принцип
Devops инженер,понимание паттерн проектирование навык программирование язык программирование highlighttext python highlighttext js
Разработчик Node.js,плюс - знакомство highlighttext python highlighttext - опыт работа инфраструктура понимание основа tcp udp понимание различие преимущество недостаток
Python-разработчик (Старший/ Ведущий),пожелание опыт опыт работа техлидом команда разработка год опыт управление команда год численность команда
Разработчик Python,навык работа sql nosql база данных postgresql mongodb написание запрос понимание
Python-разработчик,знание highlighttext python highlighttext желание направление понимание принцип программирование способность команда
QA-инженер (frontend),опыт разработка сценарий javascript typescript java kotlin highlighttext python highlighttext опыт работа снифферами трафик
DevOps-инженер,умение система linux server redos astra знание bash highlighttext python highlighttext написание скрипт сценарий развёртывание
Senior Java Backend Developer,опыт применение стек кейс построение развитие архитектура
Системный администратор (ИСОГД),образование ит - направление вуз - - имеете опыт администрирование знание база highlighttext python highlighttext
Сервисный инженер (Сервера и СХД),понимание принцип обеспечение безопасность знание тестирование нагрузка оборудование знание язык программирование highlighttext python highlighttext bash
BI-аналитик,опыт работа система опыт работа sql highlighttext python highlighttext анализ данных highlighttext python highlighttext создание визуализация отчёт
Руководитель отдела технической поддержки,опыт управление коллектив человек график навык работа поставщик ит - услуга
Python-разработчик (стажер),навык опыт работа highlighttext python highlighttext selenium pandas sqlalchemy numpy умение код проект
Python Back-end Разработчик (веб-сервисы) / Python Back-end Developer (web services),владение highlighttext python highlighttext x опыт разработка проект highlighttext python highlighttext год опыт работа
GTM Data Scientist Internship,strong analytical skills and ability to turn data into meaningful insights proficiency in sql highlighttext python highlighttext bi tools tableau power bi
Разработчик C/C++,применение стандарт знание язык highlighttext python highlighttext bash понимание принцип работа система система
Руководитель направления по автоматизации данных,гипотеза фактор пользователь ms office excel powerpoint word уровень владение sql pl sql highlighttext python highlighttext преимущество
QA тестировщик (Manual),знание плюс опыт автоматизация тестирование highlighttext python highlighttext знание ооп паттерн разработка автотестов
Аналитик данных,знание опыт работа субд oracle greenplum стека знание highlighttext python highlighttext библиотека анализ
DevOps-инженер,aws yandex cloud знание субд уровень администратор postgresql redis mongodb навык программирование highlighttext python highlighttext go java javascript
Backend-разработчик,vilavi ai помощник представитель маркетинг здоровье опыт разработка highlighttext python highlighttext год
Back-end разработчик (AI-ассистент),опыт разработка год владение highlighttext python highlighttext java знание опыт работа postgresql mysql
Digital аналитик,навык работа bi power bi google data studio опыт работа highlighttext python highlighttext обработка
